time,CPU,CPU,CPU,CPU,CPU,CPU,Memory%
1628543974.2295055,0.0,1.0,1.0,2.0,0.0,0.0,23.2
1628543975.2374263,2.0,0.0,2.0,2.0,0.0,0.0,23.2
1628543976.2454188,1.0,0.0,2.0,2.0,0.0,0.0,23.2
1628543977.2533426,1.0,2.0,2.9,2.0,1.0,0.0,23.2
1628543978.2611704,0.0,0.0,1.0,1.0,0.0,0.0,23.2
1628543979.2699153,0.0,2.0,2.0,1.0,0.0,2.0,23.2
1628543980.2784736,3.0,2.0,2.0,4.0,1.0,1.0,23.2
1628543981.2825816,1.0,0.0,61.4,1.0,5.0,0.0,23.2
1628543982.286131,1.0,0.0,100.0,2.0,0.0,0.0,23.2
1628543983.2898147,0.0,0.0,100.0,1.0,0.0,0.0,23.2
1628543984.2934382,1.0,0.0,100.0,2.0,0.0,0.0,23.2
1628543985.2967923,1.0,0.0,100.0,2.0,0.0,1.0,23.2
1628543986.3002923,3.0,3.9,72.7,3.0,0.0,0.0,23.2
1628543987.3040411,1.0,0.0,100.0,1.0,0.0,0.0,23.2
1628543988.3075907,1.0,0.0,100.0,2.0,0.0,0.0,23.2
1628543989.31145,1.0,0.0,100.0,1.0,0.0,0.0,23.2
1628543990.3151352,1.0,1.0,100.0,2.0,0.0,0.0,23.2
1628543991.3190548,1.0,0.0,100.0,3.0,0.0,0.0,23.2
1628543992.3227646,1.0,1.0,100.0,1.0,0.0,0.0,23.2
1628543993.3264341,1.0,2.0,100.0,1.0,0.0,0.0,23.2
1628543994.3299766,0.0,0.0,100.0,3.0,0.0,0.0,23.2
1628543995.3335319,1.0,0.0,100.0,1.0,0.0,0.0,23.2
1628543996.3371484,61.0,1.0,39.0,1.0,0.0,0.0,23.2
1628543997.3406007,100.0,0.0,0.0,1.0,0.0,0.0,23.2
1628543998.3442476,100.0,1.0,1.0,2.0,0.0,0.0,23.2
1628543999.3477428,100.0,2.0,1.0,0.0,0.0,0.0,23.2
1628544000.3512049,100.0,1.0,2.0,2.0,1.0,0.0,23.2
1628544001.3546617,37.4,62.4,1.0,1.0,0.0,1.0,23.2
1628544002.3581219,1.0,100.0,0.0,0.0,1.0,0.0,23.2
1628544003.3617268,1.0,100.0,1.0,0.0,0.0,0.0,23.2
1628544004.365238,1.0,100.0,1.0,1.0,0.0,0.0,23.2
1628544005.372724,0.0,0.0,4.9,1.0,0.0,0.0,23.2
1628544006.3817952,1.0,1.0,2.0,2.0,1.0,0.0,23.2
1628544007.390383,1.0,0.0,2.0,2.0,0.0,0.0,23.2
1628544008.3987339,0.0,0.0,2.0,0.0,0.0,0.0,23.2
1628544009.4075947,0.0,0.0,4.0,1.0,0.0,0.0,23.2
1628544010.415677,2.0,0.0,1.0,2.0,0.0,0.0,23.2
1628544011.4237137,0.0,1.0,1.0,3.0,1.0,2.0,23.2
1628544012.431933,2.0,1.0,1.0,4.0,0.0,0.0,23.2
1628544013.4404285,0.0,0.0,4.0,1.0,0.0,0.0,23.2
1628544014.4486077,0.0,0.0,1.0,1.0,0.0,0.0,23.2
1628544015.4568498,2.9,0.0,3.0,1.0,0.0,0.0,23.2
1628544016.464646,0.0,0.0,2.0,2.0,0.0,0.0,23.2
1628544017.4737744,3.0,0.0,3.0,8.1,1.0,0.0,23.2
1628544018.4824336,7.1,3.0,2.0,2.0,1.0,0.0,23.2
1628544019.4906392,4.0,2.0,0.0,2.0,2.0,0.0,23.2
1628544020.4989858,2.0,2.0,1.0,0.0,0.0,0.0,23.2
1628544021.5075488,2.0,2.0,1.0,0.0,0.0,0.0,23.2
1628544022.5162606,0.0,1.0,2.0,3.0,0.0,0.0,23.2
1628544023.5248961,2.0,1.0,4.0,1.0,0.0,0.0,23.2
1628544024.533503,2.0,1.0,2.0,2.0,1.0,0.0,23.2
1628544025.541808,0.0,2.0,4.0,2.0,0.0,0.0,23.2
1628544026.5498886,0.0,0.0,2.0,1.0,0.0,0.0,23.2
1628544027.5578775,1.0,0.0,3.0,1.0,0.0,0.0,23.2
1628544028.56585,0.0,0.0,3.0,1.0,0.0,0.0,23.2
1628544029.5735269,0.0,0.0,1.0,2.0,1.0,0.0,23.2
1628544030.5816145,3.0,0.0,3.0,3.0,0.0,0.0,23.2
1628544031.5900486,0.0,1.0,2.0,2.0,0.0,0.0,23.2
1628544032.599088,1.0,0.0,2.0,2.0,0.0,0.0,23.2
1628544033.6073384,0.0,2.0,2.0,0.0,0.0,0.0,23.2
1628544034.6115372,0.0,1.0,3.0,1.0,0.0,0.0,23.2
1628544035.61532,4.0,5.0,3.0,7.1,22.3,5.9,23.2
1628544036.6245866,39.0,12.2,5.0,3.0,14.0,9.0,23.2
1628544037.6346254,15.0,13.3,5.0,7.0,1.0,8.8,23.2
1628544038.6440601,13.3,13.1,5.9,5.0,4.0,5.0,23.2
